clave_unidad,nombre,simbolo
L54,Pinta (UK) por hora,pt (UK)/h
L55,Pinta (UK) por minuto,pt (UK)/min
L56,Pinta (UK) por segundo,pt (UK)/s
L57,"Pinta (líquido, estados unidos) por día",pt (US liq.)/d
L58,"Pinta (líquido, estados unidos) por hora",pt (US liq.)/h
L59,"Pinta (líquido, estados unidos) por minuto",pt (US liq.)/min
L60,"Pinta (líquido, estados unidos) por segundo",pt (US liq.)/s
L61,Pinta (US seco),Pt (US seco)
L62,Cuarto de galón (seco de los EUA),Qt (US seco)
L63,Slug por día,slug/d
L64,Slug por pie segundo,slug/(ft·s)
L65,Slug por pie cúbico,slug/ft³
L66,Slug por hora,slug/h
L67,Slug por minuto,slug/min
L68,Slug por segundo,slug/s
L69,Tonelada por kelvin,t/K
L70,Tonelada por bar,t/bar
L71,Tonelada por día,t/d
L72,Tonelada por día kelvin,(t/d)/K
L73,Tonelada por día bar,(t/d)/bar
L74,Tonelada por hora kelvin,(t/h)/K
L75,Tonelada por hora bar,(t/h)/bar
L76,Tonelada por metro cúbico kelvin,(t/m³)/K
L77,Tonelada por metro cúbico bar,(t/m³)/bar
L78,Tonelada por minuto,t/min
L79,Tonelada por minuto kelvin,(t/min)/K
L80,Tonelada por minuto bar,(t/min)/bar
L81,Tonelada por segundo,t/s
L82,Tonelada por segundo kelvin,(t/s)/K
L83,Tonelada por segundo bar,(t/s)/bar
L84,Tonelada (flota UK),British shipping ton
L85,Tonelada larga por día,ton (UK)/d
L86,Tonelada (flota estados unidos),(US) shipping ton
L87,Tonelada corta por grado fahrenheit,ton (US)/°F
L88,Tonelada corta por día,ton (US)/d
L89,Tonelada corta por hora grados fahrenheit,ton (US)/(h·°F)
L90,Tonelada corta por hora libra-fuerza por pulgada cuadrada,(ton (US)/h)/psi
L91,Tonelada corta por psi,ton (US)/psi
L92,Tonelada larga (UK) por yarda cúbica,ton.l/yd³ (UK)
L93,Tonelada corta (estados unidos) por yarda cúbica,ton.s/yd³ (US)
L94,Tonelada fuerza,ton.sh-force
L95,Año común,y (365 days)
L96,Año sideral,y (sidereal)
L98,Yarda por grado fahrenheit,yd/°F
L99,Yarda por psi (libra por pulgada cuadrada),yd/psi
LA,Libra por pulgada cúbica ,lb/in³
LAC,Porcentaje de exceso de lactosa,
LBR,Libra,lb
LBT,Troy pound,
LC,Centímetro lineal,
LD,Litro por día,l/d
LE,Lite,
LEF,Hoja,
LF,Pie lineal,
LH,Hora de trabajo,
LI,Pulgada lineal,
LJ,Spray grande,
LK,Enlazar,
LM,Metro lineal,
LN,Longitud,
LO,Lote [unidad de adquisición],
LP,Libra líquida,
LPA,Litro de alcohol puro,
LR,Capa ,
LS,Suma global,
LTN,Tonelada (UK) o tonelada larga (estados unidos),ton (UK)
LTR,Litro,l
LUB,"Tonelada métrica, aceite lubricante",
LUM,Lumen,lm
LUX,Lux,lx
LX,Yarda lineal por libra,
LY,Yarda lineal,
M0,cinta magnética,
M1,Miligramo por litro,mg/l
M10,Reciprocidad de la yarda cuadrada,1/yd³
M11,Yarda cúbica por grado fahrenheit,yd³/°F
M12,Yarda cúbica por día,yd³/d
M13,Yarda cúbica por hora ,yd³/h
M14,Yarda cúbica por psi (libra por pulgada cuadrada),yd³/psi
M15,Yarda cúbica por minuto,yd³/min
M16,Yarda cúbica por segundo,yd³/s
M17,Kilohertz metro,kHz·m
M18,Gigahertz metro,GHz·m
M19,Beaufort,Bft
M20,Recíproco de megakelvin o megakelvin a la potencia menos 1,1/MK
M21,Kilovoltio-amperio hora reciprocidad,1/kVAh
M22,Milímetro por centímetro cuadrado minuto,(ml/min)/cm²
M23,Newton por centímetro,N/cm
M24,Ohm kilómetro,Ω·km
M25,Porcentaje por grado celsius,%/°C
M26,GigaOhm por metro,GΩ/m
M27,Megahertz metro,MHz·m
M29,Kilogramo por kilogramo,kg/kg
M30,voltio-amperio segundo reciprocidad,1/(V·A·s)
M31,Kilogramo por kilómetro,kg/km
M32,Segundos pascal por litro,Pa·s/l
M33,MiliMol por litro,mmol/l
M34,Newton metro por metro cuadrado,N·m/m²
M35,Milivoltio - amperio,mV·A
M36,Mes de 30 días,mo (30 days)
M37,Actual 360,y (360 days)
M38,Kilómetro por segundo cuadrado,km/s²
M39,Centímetro por segundo cuadrado,cm/s²
M4,Valor monetario,
M40,Yarda por segundo cuadrado,yd/s²
M41,Milímetro por segundo cuadrado,mm/s²
M42,Milla (milla estatal)  por segundo cuadrado,mi/s²
M43,Mil (unidad de Medida Militar),mil
M44,Revolución,rev
M45,Grado por segundo cuadrado,°/s²
M46,Revolución por minuto,r/min
M47,Circular Mil,cmil
M48,Milla cuadrada (basado en u.s survey foot),mi² (US survey)
M49,Cadena ,ch (US survey) 
M5,Microcurie,µCi
M50,Estadio,fur
M51,Pie (Topografía UEA),ft (US survey) 
M52,Milla,mi (US survey) 
M53,Metro por pascal,m/Pa
M55,Metro por radián,m/rad
M56,Shake ,shake
M57,Milla por minuto,mi/min
M58,Milla por segundo,mi/s
M59,Metro por segundo pascal,(m/s)/Pa
M60,Metro por hora,m/h
M61,Pulgada por año,in/y
M62,Kilómetro por segundo,km/s
M63,Pulgada por minuto,in/min
M64,Yarda por segundo,yd/s
M65,Yarda por minuto,yd/min
M66,Yarda por hora,yd/h
M67,Acre-pie,acre-ft (US survey)
M68,Cordón,cord
M69,Milla cúbica (reinounido),mi³
M7,Micro-pulgada,µin
M70,Unidad tradicional de capacidad de carga,RT
M71,Metro cúbico por pascal (joules),m³/Pa
M72,Bel,B
M73,Kilogramo por metro cúbico pascal,(kg/m³)/Pa
M74,Kilogramo por pascal,kg/Pa
M75,Kilolibra fuerza,kip
M76,Poundal,pdl
M77,Kilogramo metro por segundo cuadrado,kg·m/s²
M78,Pond,p
M79,Pie cuadrado por hora,ft²/h
M80,Stokes por pascal,St/Pa
M81,Centímetro cuadrado por segundo,cm²/s
M82,Metro cuadrado por segundo pascal,(m²/s)/Pa
M83,Denier,den
M84,Libra por yarda ,lb/yd
M85,"Tonelada, ensayo",
M86,Libra Alemana,pfd
M87,Kilogramo por segundo pascal,(kg/s)/Pa
M88,Tonelada por mes,t/mo
M89,Tonelada por año,t/y
M9,Millones de btu por 1000 pies cúbicos,MBTU/kft³
M90,Kilolibra por hora,klb/h
M91,Libra por libra,lb/lb
M92,Libra fuerza pie,lbf·ft
M93,Newton metro por radián,N·m/rad
M94,Kilogramo metro,kg·m
M95,Poundal pie,pdl·ft
M96,Poundal pulgada,pdl·in
M97,Dina metro,dyn·m
M98,Kilogramo centímetro por segundo,kg·(cm/s)
M99,Gramo centímetro por segundo,g·(cm/s)
MA,Máquina por unidad,
MAH,Megavoltio amperio reactivo hora,Mvar·h
MAL,Megalitro,Ml
MAM,Megametro,Mm
MAR,Megavar,kvar
MAW,Megawatt,MW
MBE,Mil equivalente de ladrillo estándar,
MBF,Mil pies de tabla,
MBR,Milibar,mbar
MC,Microgramo,µg
MCU,Milicurie,mCi
MD,Tonelada métrica seca al aire,
MF,Miligramo por pie cuadrado por lado,
MGM,Miligramo,mg
MHZ,Megahertz,MHz
MIK,Milla cuadrada (milla estatal),mi²
MIL,Mil,
MIN,Minuto [unidad de tiempo],min
MIO,Millón,
MIU,Unidad internacional de millón,
MK,Miligramo por pulgada cuadrada,Mg / in²
MLD,Mil millones,
MLT,Mililitro,ml
MMK,Milímetro cuadrado,mm²
MMQ,Milímetro cúbico,mm³
MMT,Milímetro,mm
MND,"Kilogramo, peso seco",
MON,Mes ,mo
MPA,Megapascal,MPa
MQ,Mil metros,
MQH,Metro cúbico por hora,m³/h
MQS,Metro cúbico por segundo,m³/s
MSK,Metro por segundo cuadrado,m/s²
MTK,Metro cuadrado,m²
MTQ,Metro cúbico,m³
MTR,Metro,m
MTS,Metro por segundo,m/s
MV,Número de mults,
MVA,Megavoltio - amperio,MV·A
MWH,Megawatt hora,MW·h
N1,Pluma calórica,
N10,Libra pie por segundo,lb·(ft/s)
N11,Libra pulgada por segundo,lb·(in/s)
N12,Pferdestaerke,PS
N13,Centímetro de mercurio (0°),cmHg (0 ºC)
N14,Centímetro de agua (4°),cmH₂O (4 °C)
N15,Pie de agua (39.2 °f),"ftH₂O (39,2 ºF)"
N16,Pulgada de mercurio (32 °f),inHG (32 ºF)
N17,Pulgada de mercurio (60 °f),inHg (60 ºF)
N18,Pulgada de agua (39.2 °f),"inH₂O (39,2 ºF)"
N19,Pulgada de agua (60 °f),inH₂O (60 ºF)
N2,número de líneas,
N20,Kip por pulgada cuadrada,ksi
N21,Poundal por pie cuadrado,pdl/ft²
N22,Onza (avoirdupois) por pulgada cuadrada,oz/in²
N23,Metro convencional de agua,mH₂O
N24,Gramo por milímetro cuadrado,g/mm²
N25,Libra por yarda cuadrada,lb/yd²
N26,Poundal por pulgada cuadrada,pdl/in²
N27,Pie a la cuarta potencia ,ft⁴
N28,Decímetro cúbico por kilogramo,dm³/kg
N29,Pie cúbico por libra ,ft³/lb
N3,Impresión de punto,
N30,Pulgada cúbica por libra,in³/lb
N31,Kilonewton por metro,kN/m
N32,Poundal por pulgada,pdl/in
N33,Libra-fuerza por yarda,lbf/yd
N34,Poundal segundo por pie cuadrado,(pdl/ft²)·s
N35,Poise por pascal,P/Pa
N36,Newton segundo por metro cuadrado,(N/m²)·s
N37,Kilogramo por metro segundo,kg/(m·s)
N38,Kilogramo por metro minuto,kg/(m·min)
N39,Kilogramo por metro día,kg/(m·d)
N40,Kilogramo por metro hora,kg/(m·h)
N41,Gramo por centímetro segundo,g/(cm·s)
N42,Poundal segundo por pulgada cuadrada,(pdl/in²)·s
N43,Libra por pie minuto,lb/(ft·min)
N44,Libra por pie día,lb/(ft·d)
N45,Metro cúbico por segundo pascal,(m³/s)/Pa
N46,Pie poundal,ft·pdl
N47,Pulgada poundal,in·pdl
N48,Watt por centímetro cuadrado,W/cm²
N49,Watt por pulgada cuadrada,W/in²
N50,Unidad térmica británica (tabla internacional) por pie cuadrado hora.,BtuIT/(ft²·h)
N51,Unidad térmica británica (termoquímica) por pie cuadrado hora.,Btuth/(ft²·h)
N52,Unidad térmica británica (termoquímico) por pie cuadrado minuto.,Btuth/(ft²·min) 
N53,Unidad térmica británica (tabla internacional) por pie cuadrado segundo.,BtuIT/(ft²·s)
N54,Unidad térmica británica (termoquímica) por pie cuadrado segundo.,Btuth/(ft²·s)
N55,Unidad térmica británica (tabla internacional) por pulgada cuadrada segundo.,BtuIT/(in²·s)
N56,Caloría (termoquímica) por centímetro cuadrado minuto,calth/(cm²·min)
N57,Caloría (termoquímica) por centímetro cuadrado segundo,calth/(cm²·s)
N58,Unidad térmica británica (tabla internacional) por pie cúbico,BtuIT/ft³
N59,Unidad térmica británica (termoquímica) por pie cúbico,Btuth/ft³
N60,Unidad térmica británica (tabla internacional) por grado fahrenheit,BtuIT/ºF
N61,Unidad térmica británica (termoquímico) por grado fahrenheit,Btuth/ºF
N62,Unidad térmica británica (tabla internacional) por grado rankine,BtuIT/ºR
N63,Unidad térmica británica (termoquímico) por grado rankine,Btuth/ºR
N64,Unidad térmica británica (termoquímico) por libra grado rankine,(Btuth/°R)/lb
N65,Kilocaloría (tabla internacional) por gramo kelvin,(kcalIT/K)/g
N66,Unidad térmica británica (39 °f),Btu (39 ºF) 
N67,Unidad térmica británica (59 °f),Btu (59 ºF)
N68,Unidad térmica británica (60 °f),Btu (60 ºF) 
N69,Caloría (20 °c),cal₂₀
N70,Quad,quad
N71,Termia (energía comercial),thm (EC)
N72,Termia (UEA),thm (US)
N73,Unidad térmica británica (termoquímica) por libra,Btuth/lb
N74,Unidad térmica británica (tabla internacional) por hora pie cuadrado grado fahrenheit.,BtuIT/(h·ft²·ºF)
N75,Unidad térmica británica (termoquímico) por hora pie cuadrado grado farenheit.,Btuth/(h·ft²·ºF)
N76,Unidad térmica británica (tabla internacional) por segundo pie cuadrado grado fahrenheit.,BtuIT/(s·ft²·ºF)
N77,Unidad térmica británica (termoquímico) por segundo pie cuadrado grado fahrenheit.,Btuth/(s·ft²·ºF) 
N78,Kilowatt por metro cuadrado kelvin,kW/(m²·K)
N79,Kelvin por pascal,K/Pa
N80,Watt por metro grado celsius,W/(m·°C)
N81,Kilowatt por metro kelvin,kW/(m·K)
N82,Kilowatt por metro grado celsius,kW/(m·°C)
N83,Metro por grado celsius metro,m/(°C·m)
N84,Grado fahrenheit hora por unidad térmica británica (tabla internacional),ºF/(BtuIT/h)
N85,Grado fahrenheit hora por unidad térmica británica (termoquímico),ºF/(Btuth/h)
N86,Grado fahrenheit segundo por unidad térmica británica (tabla internacional),ºF/(BtuIT/s)
N87,Grago fahrenheit segundo por unidad térmica británica (termoquímico),ºF/(Btuth/s)
N88,Grado fahrenheit hora pie cuadrado por unidad térmica británica (tabla internacional) pulgada,ºF·h·ft²/(BtuIT·in)
N89,Grado fahrenheit hora pie cuadrado por unidad térmica británica (termoquímico) pulgada.,ºF·h·ft²/(Btuth·in)
N90,Kilofaradio,kF
N91,Joule recíproco,1/J
N92,Picosiemens,pS
N93,Amperio por pascal,A/Pa
N94,Franklin,Fr
N95,Amperio minuto,A·min
N96,Biot,Bi
N97,Gilbert,Gi
N98,Voltio por pascal,V/Pa
N99,Picovoltio,pV
NA,Miligramo por kilogramo,mg/kg
NAR,Número de artículos,
NB,barcaza,
NBB,Número de bobinas,
NC,Carro,
NCL,Número de células,
ND,Barril neto,
NE,Litro neto,
NEW,Newton,N
NF,Mensaje,
NG,Galón neto (us),
NH,Hora del mensaje,
NI,Galón imperial neto,
NIL,Nil,()
NIU,Número de unidades internacionales,
NJ,Número de pantallas,
NL,Carga,
NM3,Metro cúbico normalizado,
NMI,Milla náutica,n mile
NMP,Número de paquetes,
NN,tren,
NPR,Número de parejas,
NPT,Número de partes,
NQ,Mho,
NR,Micromho,
NT,Tonelada neta,
NTT,Tonelada de registro neto,
NV,vehículo,
NY,Libra por tonelada métrica al aire seco,
NX,Parte por mil,‰
OA,Panel,
ODE,Equivalente de agotamiento del ozona,
Ohm,Ohm,Ω
ON,Onza por yarda cuadrada,oz/yd²
ONZ,Onza (avoirdupois),oz
OP,Dos paquetes,
OPM,Oscilaciones por minuto,o/min
OT,Hora extra,
OZ,Onza AV,
OZA,Onza líquida (estados unidos),fl oz (US)
OZI,Onza líquida (UK),fl oz (UK)
P0,Página electrónica,
P1,Tanto por ciento,% or pct
P10,Culombio por metro,C/m
P11,Kiloweber,kWb
P12,Gamma,γ
P13,Kilotesla,kT
P14,Joule por segundo,J/s
P15,Joule por minuto,J/min
P16,Joule por hora,J/h
P17,Joule por día,J/d
P18,Kilojoule por segundo,kJ/s
P19,Kilojoule por minuto,kJ/min
P2,Libra por pie,lb/ft
P20,Kilojoule por hora,kJ/h
P21,Kilojoule por día,kJ/d
P22,NanoOhm,nΩ
P23,Ohm circular-mil por pie,Ω·cmil/ft 
P24,Kilohenry,kH
P25,Lumen por pie cuadrado,lm/ft²
P26,Foto,ph
P27,Vela (medida),ftc
P28,Candela por pulgada cuadrada,cd/in²
P29,Footlambert,ftL
P3,Tres paquetes,
P30,Lambert,Lb
P31,Stilb ,sb
P32,Candela por pie cuadrado,cd/ft²
P33,Kilocandela,kcd
P34,Milicandela,mcd
P35,Hefner-kerze,HK
P36,Candela internacional,IK
P37,Unidad térmica británica (tabla internacional) por pie cuadrado,BtuIT/ft²
P38,Unidad térmica británica (termoquímica) por pie cuadrado,Btuth/ft²
P39,Caloría (termoquímica) por centímetro cuadrado,calth/cm²
P4,paquete de cuatro,
P40,Langley,Ly
P41,Década (logarítmica),dec
P42,Pascal por segundo cuadrado,Pa²·s
P43,Bel por metro,B/m
P44,Libra Mol,lbmol
P45,Libra de Mol por segundo,lbmol/s
P46,Libra Mol por minuto,lbmol/h
P47,KiloMol por kilogramo,kmol/kg
P48,Libra de Mol por libra,lbmol/lb
P49,Newton metro cuadrado por amperio,N·m²/A
P5,Paquete de cinco,
P50,Metro weber,Wb·m
P51,Mol por kilogramo pascal ,(mol/kg)/Pa
P52,Mol por metro cúbico pascal,(mol/m³)/Pa
P53,Unit por segundo,unit pole 
P54,MiliGray por segundo,mGy/s
P55,MicroGray por segundo,µGy/s
P56,NanoGray por segundo,nGy/s
P57,Gray por minuto,Gy/min
P58,MiliGray por minuto,mGy/min
P59,Microgray por minuto,µGy/min
P6,paquete de seis,
P60,Nanogray por minuto,nGy/min
P61,Gray por hora,Gy/h
P62,MiliGray por hora,mGy/h
P63,Micro gray por hora,µGy/h
P64,Nanogray por hora,nGy/h
P65,Sievert por segundo,Sv/s
P66,MilliSievert por segundo,mSv/s
P67,MicroSievert por segundo,µSv/s
P68,NanoSievert por segundo,nSv/s
P69,Rem por segundo,rem/s
P7,Paquete de siete,
P70,Sievert por hora,Sv/h
P71,MilliSievert por hora,mSv/h
P72,Micro Sievert por hora,µSv/h
P73,NanoSievert por hora,nSv/h
P74,Sievert por minuto,Sv/min
P75,MilliSievert por minuto,mSv/min
P76,MicroSievert por minuto,µSv/min
P77,NanoSievert pominut ,nSv/min
P78,Reciprocidad por segundo,1/in²
P79,Pascal metro cuadrado por kilogramo,Pa/(kg/m²)
P8,Paquete de ocho,
P80,Milipascal por metro.,mPa/m
P81,Kilopascal por metro.,kPa/m
P82,Hectopascal por metro.,hPa/m
P83,Atmosfera estándar por metro.,Atm/m
P84,Atmosfera técnica por metro.,at/m
P85,Torr por metro.,Torr/m
P86,Psi por pulgada,psi/in
P87,Metro cúbico por segundo de metro cuadrado,(m³/s)/m²
P88,Rhe,rhe
P89,Libra por metro cúbico de pulgada,lbf·ft/in
P9,Nueve paquetes,
P90,Libra-fuerza por pulgada cuadrada,lbf·in/in
P91,Permanente (0°c),perm (0 ºC) 
P92,Permanente (23°c),perm (23 ºC) 
P93,Byte por segundo,byte/s
P94,Kilobyte por segundo,kbyte/s
P95,Megabite por segundo,Mbyte/s
P96,Recíproco de la unidad si deriva voltio,1/V
P97,Reciprocidad de Radian,1/rad
P98,Pascal a la suma de potencia de los números estequimetricos,PaΣνB
P99,Mols por metro cúbico a la suma de potencia de los números estequimetricos,(mol/m³)∑νB
PAL,Pascal,Pa
PB,Par de la pulgada,
PD,Almohadilla,
PE,Libra equivalente,
PFL,Litro de prueba ,
PGL,Galón de prueba,
PI,Tono,
PLA,Grado de platón ,°P
PM,Porcentaje de libra,
PO,Libra por pulgada,lb/in
PQ,Página por pulgada,ppi
PR,Par,
PS,Libra fuerza por pulgada cuadrada,lbf/in²
PT,Pinta (US),Pt (US)
PTD,Pinta seca (estados unidos),dry pt (US)
PTI,Pint (uk),pt (UK)
PTL,Pinta líquida (estados unidos),liq pt (US)
PTN,Parte,PTN
PV,Media pinta (US),
PW,Libra por pulgada de ancho,
PY,Pico seco (EUA),
PZ,Peck dry (UK),
Q10,Joule por tesla,J/T
Q11,Erlang,E
Q12,Octeto,o
Q13,Octeto por segundo,o/s
Q14,Shannon,Sh
Q15,Hartley,Hart
Q16,Unidad natural de información ,nat
Q17,Shannon por segundo,Sh/s
Q18,Hartley por segundo ,Hart/s
Q19,Unidad natural de información por segundo ,nat/s
Q20,Segundo por kilogramo,s/kg
Q21,Watt metro cuadrado,W·m²
Q22,Segundo por metro cúbicos de radianes ,1/(Hz·rad·m³)
Q23,Weber a la potencia menos uno,1/Wb
Q24,Reciprocidad de Pulgada,1/in
Q25,Dioptría,dpt
Q26,Uno por uno,1/1
Q27,Newtons metros por metro,N·m/m²
Q28,Kilogramo por metro cuadrado pascal segundo,kg/(m²·Pa·s)
Q29,Microgramo por hectogramo,µg/hg
Q3,Comida,
Q30,Ph (potencial de hidrogeno),pH
Q31,Kilojoule por gramo,kJ/g
Q32,Femtolitro,fl
Q33,Picolitro,pl
Q34,Nanolitro,nl
Q35,Megawatts por minuto,MW/min
Q36,Metro cuadrado por metro cúbico,m2/m3
Q37,Metro cúbico estándar por día,
Q38,Metro cúbico estándar por hora,
Q39,Metro cúbico normalizado por día,
Q40,Metro cúbico normalizado por hora,
Q41,Joule por metro cúbico normalizado,
Q42,Joule por metro cúbico estándar,
QA,Página-fascimil,
QAN,Cuarto (de un año),
QB,"Página, copia impresa",
QD,Cuarta docena,
QH,Un cuarto de hora,
QK,Cuarto de kilogramo,
QR,Mano de papel,qr
QT,Cuarto (EUA),Qt (US)
QTD,Cuarto seco (estados unidos),dry qt (US)
QTI,Cuarto (UK),qt (UK)
QTL,Cuarto de líquido (estados unidos),liq qt (US)
QTR,Cuarto,Qr (UK)
R1,Pica,
R9,Mil metros cúbicos ,
RH,Hora de funcionamiento,
RK,Medida métrica de rollo,
RM,Resma,
RN,Medida métrica de Hojas (resma),
ROM,Habitación,
RP,Libra por resma,
RPM,Revoluciones por minuto,r/min
RPS,Revoluciones por segundo,r/s
RS,Reiniciar,
RT,Milla de toneladas de ingresos,
RU,correr,
S3,Pie cuadrado por segundo,ft²/s
S4,Metro cuadrado por segundo,m²/s
S5,Sesenta cuartos de pulgada,
S6,Sesión,
S7,unidad de almacenamiento,
S8,Unidad de publicidad estándar,
SAN,Medio año,
SCO,Puntuación,
SCR,Escrúpulo,
SD,Libra sólida,
SE,Sección,
SEC,Segundo [unidad de tiempo],s
SET,Conjunto,
SG,Segmento ,
SHT,Tonelada de envíos,
SIE,Siemens,S
SK,Camión cisterna con división,
SM3,Metro cúbico estándar,
SMI,Milla (milla estatal),mile
SN,Barra cuadrada,Rd²
SQ,Cuadrado,
SQR,Cuadrado y techado,
SR,Tira,
SS,Medida métrica de hoja,
SST,Estándar corto (7200 partidos),
STC,Palo,
STI,Estone (UK),st
STK,"Palo, cigarrillo",
STL,Litro estándar,
STN,Tonelada (estados unidos) o tonelada corta (UK y estados unidos),ton (US)
STW,Paja,
SW,Número de madejas,
SX,Envío,
SYR,Jeringuilla,
T0,Línea de telecomunicaciones en servicio,
T1,Mil libras,
T3,Mil pedazos,
T4,Bolsa de mil,
T5,Mil envolturas,
T6,Mil galones (US),
T7,Impresión de mil,
T8,Mil pulgadas lineales,
TA,Décimo de pie cúbico,
TAB,Tonelada de registro bruto,
TAH,Kiloamperio-hora (milamperio-hora),kA·h
TAN,Número de acido total,TAN
TC,Camión,
TD,Térmico,
TE,Totalizador,
TF,Diez yardas cuadradas,
TI,Mil pulgadas cuadradas,
TIC,"Tonelada métrica, incluido el contenedor",
TIP,"Tonelada métrica, incluido el embalaje interior",
TJ,Mil centímetros cuadrados,
TKM,Tonelada kilometro,t·km
TL,Mil pies (lineal),
TMS,"Kilogramo de carne importada, menos despojos",
TNE,Tonelada (tonelada métrica),t
TP,Paquete de diez,
TPI,Dientes por pulgada,TPI
TPR,Decenas de pares,
TQ,Mil pies,
TQD,Mil metros cúbicos por día ,km³/d
TR,Diez pies cuadrados,
TRL,Trillones (eur),
Ts,Mil pies cuadrados,
TSD,Tonelada de sustancia 90% seca,
TSH,Tonelada de vapor por hora,
TST,Decena de conjuntos,
TT,Mil metros lineales,
TTS,Decenas de millar de pegatinas,
Tu,Contenedor externo,
TV,Mil kilogramos,
TW,Mil hojas,
U1,Tratamiento ,
U2,Número de tabletas,
UA,Torr,Torr
UB,Línea de telecomunicaciones en servicio promedio ,
UC,Puerto de telecomunicaciones ,
UD,Décimo minuto,
UE,Hora de décimo,
UF,Uso por línea de telecomunicaciones promedio,
UH,Diez mil yardas,
UM,Millón de unidades,
UN,Newton metro,N·m
VA,Voltio-amperio por kilogramo,V·A / kg
VLT,Voltio,V
VP,Volumen porcentual ,
VS,Visita,
W2,Kilo húmedo ,
W4,Dos semanas,
WA,Watt por kilogramo ,W/kg
WB,Libra húmeda,
WCD,Cable,
WE,Tonelada húmeda ,
WEB,Weber,Wb
WEE,Semana,wk
WG,Galón de vino,
WH,Rueda,
WHR,Watt hora,W·h
WI,Peso por pulgada cuadrada,
WM,Mes de trabajo ,
WR,Envolver,
WSD,Estándar,std
WTT,Watt,W
WW,Mililitro de agua,
X1,Cadena de gunter,ch (UK)
X1A,Tambor de acero,
X1B,Tambor de aluminio,
X1D,Tambor contrachapado,
X1F,Contenedor flexible,
X1G,Tambor de fibra,
X1w,Tambor de madera,
X2C,Barril de madera,
X3A,Bidón de acero,
X3H,Bidón de plástico,
X43,Bolsa de gran tamaño,
X44,Bolsa de plástico,
X4A,Caja de acero,
X4B,Caja de aluminio,
X4C,Caja de  madera natural,
X4D,Caja de contrachapado,
X4F,Caja de madera reconstituida,
X4G,Caja de cartón,
X4H,Caja de plástico,
X5H,Bolsa de plástico tejido,
X5L,Bolsa textil,
X5M,Bolsa de papel,
X6H,"Recipiente de plástico, Contenedor compuesto.",
X6P,"Recipiente de vidrio, Contenedor compuesto.",
X7A,Estuche para carro,
X7B,Estuche de madera,
X8A,Pallet de madera,
X8B,Cajón de madera,
X8C,Madera flejada,
XAA,Contenedor intermedio  para gráneles de plástico rígido,
XAB,Contenedor de fibra,
XAC,Contenedor de papel,
XAD,Contenedor de madera,
XAE,Aerosol,
XAF,"Pallet modular con collares,  80cms * 60cms",
XAG,Pallet o empaquetado,
XAH,"Pallet, 100cms X 110cms",
XAI,Contenedor tipo concha,
XAJ,Cono,
XAL,Esfera,
XAM,Ampolleta no protegida,
XAP,Ampolleta protegida,
XAT,Atomizador,
XAV,Cápsula,
XB4,Cinturón,
XBA,Barril,
XBB,Bobina,
XBC,Cajón para botellas / Estante para botellas,
XBD,Tablero,
XBE,Flejado,
XBF,Globo no protegido,
XBG,Bolso,
XBH,Manojo,
XBI,Compartimiento,
XBJ,Cubeta,
XBK,Cesta,
XBL,Paca comprimida,
XBM,Cuenco,
XBN,Paca no comprimida,
XBO,Botella no-protegida y cilíndrica,
XBP,Globo protegido,
XBQ,Botella cilíndrica protegida,
XBR,Barra,
XBS,"Botella, no-protegida en forma de bulbo",
XBT,Rollo de tela,
XBU,Butt,
XBV,Botella de bulbo protegido,
XBW,Caja para líquidos,
XBX,Caja,
XBY,"Tablero, con fleje/ agrupados/ armados",
XBZ,"Barras, con fleje/ agrupados/ armados",
XCA,Lata rectangular,
XCB,Cajón para cerveza,
XCC,Mantequera,
XCD,Lata con mango y boquilla,
XCE,Cesto tejido,
XCF,Cofre,
XCG,Contenedor tipo Jaula,
XCH,Cajonera,
XCI,Frasco,
XCJ,Ataúd,
XCK,Barrica,
XCL,Espiral,
XCM,Paquete de tarjetas,
XCN,"Contenedor, no especificado como equipo de transporte",
XCO,Garrafón no protegido,
XCP,Garrafón protegido,
XCQ,Cartucho,
XCR,Cajón,
XCS,Estuche,
XCT,Cartón,
XCU,Vaso,
XCV,Cubierta,
XCW,Jaula estilo rodillo,
XCX,Lata cilíndrica,
XCY,Cilindro,
XCZ,Lona,
XDA,Cajón multicapa de plástico,
XDB,Cajón de varias capas de madera,
XDC,Cajón multicapa de cartón,
XDG,"Jaula, Según la clasificación de la compañía (Commonwealth Handling Equipment Pool (CHEP))",
XDH,"Caja, Según la clasificación de la compañía (CHEP), Eurobox",
XDI,Tambor de hierro,
XDJ,"damajuana o garrafa, no protegido",
XDK,"Cajón a granel, cartón",
XDL,Cajas de plástico,
XDM,Cajones a granel de madera,
XDN,Dispensador,
XDP,"damajuana o garrafa, protegido",
XDR,Tambor,
XDS,Bandeja de una capa sin cubierta y de plástico,
XDT,Bandeja de una capa sin cubierta y de madera,
XDU,Bandeja de una capa sin cubierta y  poliestireno,
XDV,Bandeja de una capa sin cubierta y de cartón,
XDW,Bandeja de dos capas sin tapa y con bandeja de plástico,
XDX,Bandeja de dos capas sin cubierta y de madera,
XDY,Bandeja de dos capas sin cubierta y de cartón,
XEC,Bolsa de plástico,
XED,"Estuche, con pallet de base",
XEE,"Estuche, con pallet base de madera",
XEF,"Estuche, con pallet base de cartón",
XEG,"Estuche, con pallet base de plástico",
XEH,"Estuche, con pallet base de metal",
XEI,Estuche isotérmico,
